,Fulton,Gwinnett,Cobb,Dekalb,Chatham,Clayton,Cherokee,Forsyth,Henry,Richmond,Hall,Muscogee,Paulding,Houston,Bibb,Columbia,Douglas,Coweta,Clarke,Carroll,Lowndes,Fayette,Newton,Bartow,Whitfield,Floyd,Walton,Rockdale,Dougherty,Glynn,Barrow,Bulloch,Troup,Walker,Jackson,Catoosa,Spalding,Liberty,Effingham,Gordon,Camden,Laurens,Colquitt,Baldwin,Thomas,Habersham,Coffee,Polk,Tift,Murray,Oconee,Bryan,Ware,Harris,Lumpkin,Pickens,Gilmer,Sumter,Wayne,Lee,White,Haralson,Madison,Jones,Monroe,Peach,Toombs,Decatur,Upson,Hart,Stephens,Tattnall,Fannin,Grady,Chattooga,Dawson,Butts,Union,Franklin,Crisp,Emanuel,Burke,Mitchell,Putnam,McDuffie,Meriwether,Dodge,Worth,Washington,Pierce,Elbert,Berrien,Brantley,Banks,Long,Lamar,Morgan,Appling,Pike,Greene,Cook,Ben Hill,Rabun,Dade,Telfair,Jefferson,Brooks,Jeff Davis,Oglethorpe,McIntosh,Screven,Jasper,Dooly,Macon,Charlton,Bleckley,Crawford,Heard,Towns,Pulaski,Bacon,Candler,Evans,Chattahoochee,Lanier,Early,Wilkes,Johnson,Irwin,Montgomery,Wilkinson,Wilcox,Jenkins,Terrell,Hancock,Marion,Seminole,Atkinson,Twiggs,Taylor,Turner,Wheeler,Lincoln,Randolph,Treutlen,Clinch,Calhoun,Talbot,Stewart,Miller,Warren,Schley,Echols,Baker,Glascock,Clay,Webster,Quitman,Taliaferro
2000-01-31,329555.35,278269.81,297623.87,283520.22,203550.86,175276.73,312497.68,392739.58,263243.02,,259318.41,209434.27,,197430.07,117063.33,239904.56,271371.84,266184.73,195515.24,170135.34,191833.27,346866.22,153151.52,197044.99,164062.03,156882.72,278470.26,259629.63,115134.43,,197693.82,,177154.64,150243.22,,180615.05,,142459.05,240391.62,,174606.8,132784.65,98525.13,,164065.55,,129962.52,139452.28,156177.63,160459.19,352939.53,259239.28,89214.72,,223986.3,237838.51,,124800.03,129199.4,208331.79,254889.15,,191019.16,194247.47,220663.03,171694.99,120769.91,146636.87,114877.71,202668.17,143946.6,115127.39,243665.65,,115538.84,363742.78,176090.84,215140.08,,119816.89,90793.71,,99100.11,252267.46,143023.48,107360.8,81870.13,122169.55,101405.3,139360.85,106803.4,121483.8,,229496.94,206256.94,166745.26,281266.02,101160.89,,,104867.47,94459.85,248406.14,166485.02,66148.8,92566.12,106887.81,98206.87,183217.4,168366.45,114631.54,173078.8,90304.89,82977.88,120133.39,115127.39,,139800.44,,112510.98,73757.14,119911.84,113692.59,,131075.55,97376.94,110659.45,,90663.59,,105308.81,75473.28,,104607.24,,101067.7,111111.34,,82464.45,,91053.94,,146074.2,,88038.39,,,115679.51,,,,,,,,,,96882.84,
2000-02-29,330129.85,277384.38,295965.47,283095.05,202928.92,174845.78,311630.92,392097.7,262524.75,,257875.11,208499.75,,196405.44,116761.96,239161.17,270423.9,265354.74,194853.23,169442.76,191236.65,345844.25,152782.7,196221.9,163609.73,156425.51,277667.55,258911.67,114667.87,,197076.67,,176987.06,149685.27,219110.03,180002.34,,141971.41,239355.2,,173893.13,132257.85,97833.02,,163747.82,,129761.73,139283.01,155803.22,160119.0,351853.82,258486.91,88942.76,,223724.71,237642.17,,124641.88,129053.8,208024.3,254426.33,,190137.16,193659.35,220046.95,170912.81,120380.29,145425.43,114536.77,201570.74,143794.56,115297.15,242706.09,,115089.14,363215.73,175520.5,214042.62,,119723.05,90470.5,,98661.57,252064.81,142574.47,106920.8,81071.58,121965.71,100797.6,137295.55,106733.76,120532.37,,229916.08,206360.22,166207.24,280053.56,101972.25,,,105116.88,93435.09,246934.47,165939.79,65860.61,91389.95,106532.75,98119.69,182951.19,166139.06,114811.21,173464.87,90461.76,83401.65,121210.58,114986.01,,139658.83,,112418.21,73808.7,118740.68,113330.66,,131275.49,97067.4,110892.22,,90215.3,,104933.34,74560.34,,104080.32,,100718.95,111512.76,,81882.65,,90402.33,,146199.79,,87656.25,,,115183.53,,,,,,,,,,98808.4,
2000-03-31,329104.94,275955.16,294453.65,281957.2,201756.62,173975.95,309949.38,390397.87,261071.42,,256362.71,207273.23,,195168.6,116053.31,237704.72,269081.07,264036.03,193797.25,168695.13,190007.4,343993.88,152011.81,194991.76,162682.68,155543.34,276331.37,257578.03,113960.75,,196130.8,,176054.65,148922.37,218543.96,179102.48,,141067.02,237789.67,,172727.69,131361.81,97379.72,,163228.8,,129192.96,138913.77,154764.91,159551.64,349968.19,256541.28,88409.6,,222122.3,236333.37,,123920.81,128324.38,207018.38,252819.04,,188991.45,192483.11,219624.05,169766.55,119350.8,144175.53,113756.17,200789.23,143008.75,114666.36,242664.81,,114838.0,361895.98,174861.87,212717.02,,119061.27,88927.98,,96982.71,250924.12,141566.32,106540.55,80920.05,121113.96,99903.98,136517.81,106228.48,119967.99,,228769.27,205543.01,165189.6,279666.99,101701.82,,,104402.91,92570.46,245156.13,164726.71,65661.84,90198.77,107178.55,97870.36,182067.09,165583.15,114636.89,172942.67,90018.47,83081.97,121543.92,114551.94,,138535.83,,111928.86,74394.44,117993.32,113241.27,,131887.12,96824.94,110746.49,,89949.12,,104720.17,74184.66,,102502.78,,102696.95,111034.28,,81117.7,,89767.08,,146620.03,,87000.11,,,114740.91,,,,,,,,,,99122.08,
2000-04-30,332447.48,277509.42,295856.76,284376.02,202558.9,175061.27,311234.29,392864.29,262348.47,,256977.16,207805.45,,195505.16,116531.36,238615.96,270434.89,265628.43,194846.74,169598.14,190669.25,345854.96,152997.33,195766.79,163358.76,156227.05,278034.42,258914.3,114337.79,,197347.0,,177071.18,149698.31,219559.95,180084.31,,141513.13,238742.44,,173314.73,131893.3,97837.48,,164575.1,,130158.88,139927.73,155282.74,160903.55,351661.17,257658.11,88850.07,,222858.97,238213.98,,124491.29,128696.5,208190.11,255000.18,,189789.05,193767.28,221365.4,170062.49,119620.73,143888.64,114020.71,201916.07,143782.94,115453.63,244153.6,,115635.57,364422.35,176345.19,213774.53,,119842.51,87689.18,,95858.76,252231.35,141844.08,107459.05,81234.95,121824.7,99587.49,136039.6,106911.52,120674.2,,230891.67,205390.1,166195.15,280597.05,102876.11,,,105778.35,92065.93,246191.23,164729.31,65853.95,89567.4,109387.52,97825.35,183956.85,165692.68,115592.25,173990.48,90752.55,84613.67,123616.29,115224.92,,138321.54,,112904.86,76109.68,117512.06,113632.59,,135149.0,97497.88,111955.35,,90957.01,,105516.72,74565.86,,102787.75,,107349.89,111717.98,,80240.39,,90535.97,,147982.96,,87335.71,,,114783.09,,,,,,,,,,101304.57,
2000-05-31,334789.04,278940.68,297412.0,286659.42,203212.24,176027.05,312382.2,394249.29,262942.47,,258004.9,208194.8,,195656.18,116743.33,239133.79,271749.79,266810.49,195785.98,170527.01,191104.55,347253.25,153876.34,196594.2,163749.75,156783.85,279333.54,259932.85,114695.96,,198560.23,,177800.97,150349.26,220811.31,180994.04,,141694.24,239613.18,,173592.01,132379.83,98535.06,,165525.41,,131087.03,140787.37,155660.65,161811.41,353076.91,258428.91,89348.73,,222436.4,239758.56,,124934.53,128648.53,208829.96,257021.88,,190277.29,194444.72,222638.88,170532.2,119502.0,143791.79,113955.23,203923.54,144253.88,115618.4,244928.04,,116137.6,366961.99,177745.59,215465.3,,120453.86,86797.74,,95224.31,253681.71,141976.33,107991.38,81674.99,122426.81,99670.38,136794.74,107548.34,121834.92,,231887.52,205290.76,166809.56,282791.39,103751.27,,,107036.06,91839.14,246997.91,165179.28,66015.98,89757.16,111444.05,97558.97,185081.85,167927.56,116636.03,173434.52,90807.67,85295.52,124311.5,115453.99,,139247.08,,113591.8,78533.84,117645.0,114725.38,,137327.78,97944.91,112584.55,,91520.7,,106129.2,75449.81,,102951.71,,112549.94,111779.8,,78352.12,,91681.65,,150415.03,,86773.51,,,115234.19,,,,,,,,,,102204.06,
2000-06-30,335554.87,279159.63,297408.85,287797.02,202981.21,176407.94,313827.98,393398.0,262184.42,,257675.48,207338.64,,195010.09,116352.52,238567.18,271882.33,266312.87,195850.24,170320.28,190793.83,347100.08,154174.88,196729.99,163525.02,156817.58,279297.36,259920.48,114546.54,,198880.3,,177724.98,150313.28,220118.25,181044.27,,141376.33,239700.01,,173365.83,132434.21,98642.18,,165670.17,,131358.2,140742.77,155564.23,161743.14,352989.76,258605.16,89555.44,,221893.25,240385.21,,124903.83,128181.8,208535.17,257830.43,,189767.74,194211.25,222170.43,170270.35,119157.05,143731.51,113546.28,204749.31,144242.83,115338.49,243876.67,,115694.86,367115.69,178191.54,216990.06,,120322.59,86516.78,,94868.38,254244.29,141829.12,107756.45,81336.41,122908.47,99769.84,136486.92,107921.73,121889.27,,231026.46,203974.58,166818.49,281936.61,104691.96,,,108116.27,91251.24,247927.65,165108.92,65645.53,89543.39,112401.4,96502.2,185539.43,167608.72,116958.54,172286.37,90667.61,85628.42,124354.63,115112.95,,141159.41,,113931.92,79254.97,116626.26,115018.26,,138122.46,98077.48,112707.85,,91612.78,,106222.49,75735.97,,103183.82,,113391.33,111542.31,,76385.02,,92592.39,,152312.09,,85731.72,,,115083.69,,,,,,,,,,102340.22,
2000-07-31,337234.35,280009.49,298144.32,289657.47,203371.88,177332.47,315851.46,393710.32,262391.67,,258248.72,207277.79,,195089.42,116327.09,238588.63,272974.04,265938.59,196460.1,170680.06,191028.93,347732.56,154888.09,197373.88,163854.16,157383.82,279961.4,260596.74,114748.58,,199477.99,,178168.96,150731.4,220318.1,181554.43,,141552.34,240419.63,,173510.73,132679.02,98963.48,,166171.26,,131782.41,141196.79,155813.89,162256.76,353761.47,258868.79,90006.0,,221982.5,241103.25,,125105.95,128403.81,208730.91,258571.64,,190273.17,193861.31,222442.82,170925.68,118979.13,144266.21,113776.4,206307.32,144656.11,114916.91,243927.05,,115761.99,368801.12,178948.77,218664.02,,120267.36,87254.34,,95043.83,256118.85,142143.21,107333.54,82170.13,123298.99,100560.89,137857.7,108338.36,122215.16,,230433.28,204149.97,166533.68,283733.33,105463.03,,,109217.79,91565.61,248985.5,165743.56,65948.75,89890.91,112996.59,97357.49,186276.22,167454.33,117692.62,171834.31,90667.29,85002.51,123649.39,114971.88,,144190.63,,114353.53,79756.84,116691.23,116512.6,,139078.94,98575.3,112697.72,,91637.75,,106385.4,75844.06,,102481.21,,114544.18,111637.94,,76058.77,,92920.83,,155283.14,,85761.71,,,115828.98,,,,,,,,,,102618.62,
2000-08-31,339475.87,281670.45,299820.74,292249.39,204179.17,178732.35,318366.09,395319.74,263782.96,,259035.4,207629.91,,195840.03,116677.49,239346.11,275150.29,266204.83,197580.0,171458.15,191817.32,349582.45,155975.35,198555.62,164680.35,158349.13,281450.59,262159.79,115123.03,,200704.39,,178785.6,151794.62,221089.32,182506.0,,142021.25,242144.14,,174421.08,133182.28,99440.99,,167471.51,,132210.1,141610.74,156432.24,163249.55,355235.2,260004.15,90512.7,,224593.31,242908.49,,125555.97,129276.37,209660.16,260474.78,,191951.3,194586.16,223516.35,172009.51,119494.42,145676.39,114434.26,207853.2,145482.3,115366.93,245455.75,,116701.54,370894.92,180080.7,220857.44,,120167.73,87872.69,,95138.3,257747.17,142759.84,107762.95,83288.31,123735.27,101369.89,139080.66,108896.59,122646.29,,230483.09,204273.64,167243.06,285809.96,106230.81,,,110512.89,92041.4,250983.11,166346.46,66237.31,90820.16,114123.36,98073.75,187999.01,166416.88,118506.78,172504.19,91364.65,84485.5,123041.34,115030.28,,146267.26,,115442.51,79755.13,117136.1,116933.42,,142993.44,100081.67,113111.67,,92522.34,,107190.97,76221.94,,102419.37,,114813.85,111983.18,,76912.43,,93432.68,,156890.85,,86086.34,,,116897.35,,,,,,,,,,103618.28,
2000-09-30,340194.6,281882.16,300669.75,293132.5,204008.08,179135.67,315153.02,396309.59,264225.76,,258807.35,206953.95,,195414.83,116640.25,238929.59,275998.97,265368.91,197735.3,171608.68,191611.18,349780.62,156330.84,198753.71,164662.65,158473.6,281589.97,262303.43,114929.8,,200928.93,,178930.63,151937.67,221010.04,182676.18,,141774.09,242458.13,,174204.25,132904.03,99484.51,,167543.59,,131760.88,141473.35,156506.84,163365.72,354840.2,260003.47,90477.74,,226110.62,243638.87,,125019.9,129464.33,209592.24,261669.49,,193058.48,194328.07,223880.72,172129.84,119536.56,145678.56,114642.73,207936.47,145422.25,115597.92,245426.21,,117200.71,372402.62,180314.7,221249.26,,119673.26,87841.16,,94920.46,258067.46,142283.3,108000.86,83842.71,123306.04,101314.56,139633.04,109429.37,122373.07,,229929.66,202781.21,166467.08,287054.52,106346.8,,,111004.83,92015.61,251381.17,166221.02,66493.88,91564.5,114753.8,98045.75,188769.55,166721.68,118523.28,172348.56,92022.44,82954.16,122009.11,114476.98,,146464.58,,115450.96,80414.98,117426.27,116771.82,,144716.54,100660.12,111963.43,,93218.56,,107358.38,76515.63,,102186.02,,116747.9,112985.25,,77076.1,,93519.3,,159968.75,,86950.9,,,117159.7,,,,,,,,,,103293.28,
2000-10-31,341912.58,283134.36,302797.04,295008.39,204732.7,179923.64,315392.62,397519.73,265440.17,,259647.3,206839.35,,195616.94,117036.17,239493.35,278054.51,265900.73,198576.49,172392.57,192002.37,351207.45,157079.66,199669.91,165171.95,159060.09,282755.68,263357.4,115127.39,,202001.73,,179730.89,152603.66,221046.91,183458.05,,142015.8,243507.08,,174688.57,133152.5,99923.65,,168022.33,,131960.15,141973.16,157289.48,163930.13,355952.96,261177.39,90773.78,,228581.39,245224.82,,124865.76,129964.38,210256.06,263268.7,,194361.48,194791.34,224588.13,172817.31,119881.43,146600.98,115040.39,209131.94,145905.01,116480.08,246372.82,,118151.76,374923.09,181225.17,222713.46,,119801.26,88018.92,,95474.95,259587.59,142338.2,108698.25,84078.54,123485.77,101614.1,140040.5,110433.05,122018.79,,230415.12,202736.92,167177.96,289201.87,107011.22,,,111739.68,92058.24,253218.16,166702.04,66983.08,92877.02,116300.97,97453.67,189307.21,167664.11,119531.75,172931.6,92750.79,82157.82,122081.91,114615.65,,146991.6,,116171.33,81325.39,117931.71,116783.71,,146198.41,101317.29,111396.82,,94149.54,,108635.14,77071.14,,102685.33,,116481.79,114973.87,,76774.34,,94442.94,,163061.88,,87097.8,,,117914.65,,,,,,,,,,102992.38,
