,Fulton,Gwinnett,Cobb,Dekalb,Chatham,Clayton,Cherokee,Forsyth,Henry,Richmond,Hall,Muscogee,Paulding,Houston,Bibb,Columbia,Douglas,Coweta,Clarke,Carroll,Lowndes,Fayette,Newton,Bartow,Whitfield,Floyd,Walton,Rockdale,Dougherty,Glynn,Barrow,Bulloch,Troup,Walker,Jackson,Catoosa,Spalding,Liberty,Effingham,Gordon,Laurens,Colquitt,Baldwin,Thomas,Habersham,Coffee,Polk,Tift,Murray,Oconee,Bryan,Ware,Harris,Lumpkin,Pickens,Gilmer,Sumter,Wayne,Lee,White,Haralson,Madison,Jones,Monroe,Peach,Toombs,Decatur,Upson,Hart,Stephens,Tattnall,Fannin,Grady,Chattooga,Dawson,Butts,Union,Franklin,Crisp,Emanuel,Burke,Mitchell,Putnam,McDuffie,Meriwether,Dodge,Worth,Washington,Pierce,Elbert,Berrien,Brantley,Banks,Long,Lamar,Morgan,Pike,Greene,Cook,Ben Hill,Rabun,Dade,Telfair,Jefferson,Brooks,Jeff Davis,Oglethorpe,McIntosh,Screven,Jasper,Dooly,Macon,Charlton,Bleckley,Crawford,Heard,Towns,Pulaski,Bacon,Candler,Evans,Lanier,Early,Wilkes,Irwin,Wilkinson,Wilcox,Jenkins,Terrell,Hancock,Seminole,Twiggs,Taylor,Turner,Lincoln,Randolph,Talbot,Stewart,Miller,Schley,Glascock,Quitman
2000-01-31,228640.63,180233.49,200556.4,195232.14,151463.51,106553.72,219857.71,251739.96,203717.9,,188460.77,,,119576.0,72714.44,140180.24,129679.42,160733.49,145518.56,135682.4,106363.82,240514.71,125232.58,143019.96,143095.57,108282.17,162563.92,146141.01,52018.77,,156942.51,,66366.83,120736.5,134678.39,152963.38,,86631.71,,,82376.53,80595.33,,148495.43,,,77433.83,96144.34,115730.5,,162484.8,54309.89,,172289.31,179231.24,,,74864.89,,,,138822.8,128974.33,138010.44,,,,76981.94,127296.87,98365.13,,186319.11,,82912.82,255516.87,,155583.31,,57102.13,53219.71,,,184033.27,78121.34,77769.67,,,,,90747.99,,,148303.77,,,198558.93,,,,40162.27,192227.14,134919.28,,,62637.39,,,,59815.25,139355.58,73431.85,,,64539.91,,,,68088.25,,,,,,,,,,,,,,,,,83120.31,,90097.4,,,,,74372.56
2000-02-29,229005.38,179586.32,199593.77,195071.73,151358.1,105990.87,219646.66,251931.96,202782.09,,186604.48,,,119072.8,72424.3,139865.09,129475.06,159353.38,145149.25,134928.78,105503.18,240024.68,125131.32,142730.04,142637.39,108359.39,161956.13,146019.75,51817.29,,156327.62,,65948.01,120163.54,134575.68,152593.92,,86535.79,,,82003.26,79860.23,,147870.86,,,77128.13,96114.75,114791.98,,161190.52,53844.96,,171379.53,179369.57,,,74971.11,,,,139188.62,128410.54,136446.03,,,,76846.7,126337.43,98039.28,,186104.56,,82908.72,255097.56,,154661.79,,56566.57,52818.89,,,183257.09,77801.1,77638.54,,,,,91257.1,,,148690.67,,,197922.69,,,,40714.09,191196.44,134911.3,,,62768.42,,,,61107.84,140295.09,73317.52,,,64572.35,,,,67911.0,,,,,,,,,,,,,,,,,82931.44,,89236.43,,,,,75684.29
2000-03-31,228434.67,178823.35,198679.32,194641.55,150806.9,105495.13,218058.53,250620.72,201793.03,,183859.73,,,118426.74,71988.08,138957.11,129154.82,158032.92,144680.03,134340.29,104659.49,238857.62,124101.11,141632.2,141464.03,107859.89,161035.68,144967.82,51518.38,,154761.45,,65432.99,119948.92,134643.69,151741.36,,86155.8,,,81641.27,79737.68,,148856.49,,,76752.26,95401.58,114449.65,,159905.31,53368.23,,170725.28,178381.26,,,75011.63,,,,138605.18,127669.05,137495.61,,,,76372.58,126226.62,97398.79,,185305.63,,82776.84,254285.75,,154050.63,,56197.61,52100.9,,,183072.63,76870.15,77563.63,,,,,90893.98,,,148225.43,,,196973.37,,,,40857.91,189828.83,134066.37,,,62929.54,,,,61084.89,139882.91,72757.83,,,63890.0,,,,67319.24,,,,,,,,,,,,,,50235.45,,,83957.48,,87743.87,,,,,75295.96
2000-04-30,231040.68,180164.02,200063.84,196835.86,151699.56,106154.34,219461.19,251964.52,202723.5,,182643.48,,,118931.12,72341.1,139723.28,130307.9,157815.92,145756.47,134705.44,104631.32,240192.7,124777.18,142039.87,141934.17,108510.79,161643.4,145503.49,51788.06,,154892.88,,65436.37,120712.32,135374.25,152631.74,,86590.66,,,82073.56,79990.88,,150985.69,,,77218.6,95725.34,115292.49,,160506.77,53493.01,,172425.87,179715.25,,,75347.3,,,,140036.89,128798.73,138746.04,,,,76721.32,126866.79,97872.13,,186295.97,,83367.87,256869.74,,154832.24,,56060.85,50919.99,,,185114.28,77149.29,78287.66,,,,,92076.32,,,147177.26,,,197787.1,,,,41586.04,190270.73,134235.88,,,63932.41,,,,62158.14,141029.72,72658.18,,,64550.98,,,,67865.59,,,,,,,,,,,,,,49402.16,,,86944.13,,86010.21,,,,,76028.24
2000-05-31,233166.48,181373.05,201455.62,199107.11,152116.26,106719.35,220823.42,251497.62,202954.37,,181999.55,,,119515.84,72421.15,140188.56,131400.28,158273.95,146507.2,135356.56,104810.43,240999.44,125374.12,142249.78,141919.22,108865.37,161911.79,146251.06,51994.19,,154726.1,,65427.56,121810.7,136649.36,153557.9,,86790.81,,,82523.01,80446.22,,152796.41,,,77855.42,95937.35,116783.13,,161029.16,53780.23,,173377.41,180345.04,,,75318.27,,,,140877.36,129821.92,140306.25,,,,76725.3,127606.67,98443.34,,186192.94,,83613.32,259650.75,,156408.3,,56144.31,49955.47,,,187368.05,77220.27,78680.95,,,,,92967.53,,,146979.67,,,197033.78,,,,41913.1,190507.47,134600.26,,,64929.13,,,,63068.67,140894.67,71858.69,,,64119.18,,,,68201.81,,,,,,,,,,,,,,48498.25,,,89798.7,,84952.85,,,,,75387.5
2000-06-30,234006.59,181719.15,201817.39,200553.72,152081.39,106955.9,222533.69,249196.48,201507.5,,181889.59,,,119460.06,72161.88,140289.99,131798.94,157103.37,146568.75,134939.18,104537.02,240906.86,125924.75,142448.9,141519.23,108715.4,161403.98,146630.73,52032.65,,154975.44,,64991.31,122149.23,136259.66,153952.79,,86826.67,,,82856.6,80002.15,,152844.07,,,78151.41,95684.43,117326.96,,161507.28,54301.75,,172713.33,180803.24,,,75384.76,,,,140608.49,129868.99,138795.62,,,,76490.04,126916.41,98883.2,,185413.75,,82842.83,259786.19,,157544.1,,55873.59,49088.67,,,187297.21,76817.15,78223.71,,,,,93448.04,,,145809.51,,,195547.23,,,,41900.89,191263.83,134346.94,,,65499.19,,,,64030.64,140171.19,70889.6,,,64238.96,,,,68766.83,,,,,,,,,,,,,,48637.6,,,90913.81,,84850.25,,,,,74684.05
2000-07-31,235529.51,182576.43,202681.39,202571.46,152589.89,107580.88,223976.68,247534.09,200407.23,,181721.04,,,119834.51,71936.43,140246.93,132058.95,156482.06,147014.43,135415.21,104715.85,241268.15,126311.73,142898.97,141323.89,109032.28,161289.73,147225.7,52133.78,,154190.73,,64729.22,123075.7,138278.52,154472.42,,87319.61,,,83260.83,80153.62,,153859.22,,,78472.05,95667.33,118304.1,,161932.12,54782.37,,172554.0,181341.44,,,75581.26,,,,141909.61,129642.23,138709.65,,,,76702.88,127101.84,99533.74,,184708.02,,82140.93,260373.44,,159218.25,,55929.76,49399.29,,,187439.06,76823.12,77975.65,,,,,93394.9,,,148364.49,,,195000.11,,,,41616.67,192880.54,135164.44,,,66026.04,,,,65182.68,140575.0,70311.55,,,64138.35,,,,69109.2,,,,,,,,,,,,,,48944.12,,,91137.92,,84952.7,,,,,73916.87
2000-08-31,237339.91,184264.86,204249.59,205037.99,153608.45,108742.0,224763.35,247867.32,200774.81,,180841.61,,,120287.97,72171.75,140710.7,133141.06,155827.64,148300.94,135909.89,105183.05,242400.07,126902.6,143950.16,141639.94,109417.03,161780.97,147364.83,52408.6,,154395.12,,64718.92,123831.46,138094.73,155142.3,,87695.77,,,83738.33,80263.55,,156234.72,,,78602.59,95669.05,117943.39,,163661.79,55369.81,,174592.84,183266.92,,,76230.53,,,,143613.51,129625.05,139467.12,,,,77290.31,128527.48,100408.02,,186001.4,,81979.47,261395.44,,160913.56,,56032.82,49694.73,,,188179.36,77152.9,78257.35,,,,,93169.89,,,150264.2,,,196863.75,,,,41443.19,195063.66,135868.67,,,66575.68,,,,66254.48,141167.59,70854.32,,,64713.76,,,,69885.57,,,,,,,,,,,,,,49785.76,,,92132.43,,85723.92,,,,,73865.34
2000-09-30,238295.64,184854.82,205330.65,206244.82,153586.61,109174.77,223053.69,249067.54,200633.32,,178293.27,,,120408.02,71454.35,140376.34,133838.71,154777.6,148486.02,135918.24,105051.58,241966.02,126829.46,144145.82,141396.46,109374.69,161221.25,147520.58,52391.65,,153261.95,,64973.1,123907.51,137563.76,155305.6,,87296.07,,,83639.37,79991.21,,156190.72,,,78427.71,95670.6,116800.87,,164883.08,55123.93,,175783.13,183692.88,,,76185.85,,,,145623.88,128854.31,142346.52,,,,77588.72,129394.28,100340.58,,186486.67,,81534.2,263959.2,,161279.35,,55872.35,50047.26,,,190327.92,77810.86,78687.44,,,,,93116.03,,,151085.01,,,197323.49,,,,40890.13,195713.86,135856.73,,,66536.6,,,,66285.41,142175.65,70521.38,,,65466.93,,,,70104.44,,,,,,,,,,,,,,50231.81,,,92919.53,,85132.8,,,,,73241.69
2000-10-31,239706.58,186023.56,207124.22,208077.76,154265.11,109776.32,223779.59,249953.28,201948.85,,177151.73,,,120969.73,71114.51,141115.15,135844.25,154381.1,149459.89,136275.81,105052.97,242550.13,127675.2,145319.93,141253.32,109684.2,161484.02,148141.31,52552.07,,153408.8,,65495.63,123941.22,136495.86,156134.65,,86995.45,,,84305.41,79969.29,,156393.93,,,78741.12,96039.56,116162.8,,165970.26,55279.64,,176755.99,184786.86,,,76834.04,,,,146295.64,127545.56,145296.04,,,,77877.98,130994.68,100750.96,,188679.48,,82168.05,267598.0,,162082.75,,55750.44,50377.19,,,193481.29,77787.58,79104.45,,,,,93724.8,,,151643.3,,,198503.14,,,,40439.24,196916.76,134987.94,,,67143.43,,,,67470.94,142617.95,70410.02,,,66089.25,,,,70752.89,,,,,,,,,,,,,,51062.92,,,94420.77,,85485.82,,,,,72692.37
