,Fulton,Gwinnett,Cobb,Dekalb,Chatham,Clayton,Cherokee,Forsyth,Henry,Richmond,Hall,Muscogee,Paulding,Houston,Bibb,Columbia,Douglas,Coweta,Clarke,Carroll,Lowndes,Fayette,Newton,Bartow,Whitfield,Floyd,Walton,Rockdale,Dougherty,Glynn,Barrow,Bulloch,Catoosa,Spalding,Liberty,Gordon,Camden,Baldwin,Thomas,Habersham,Oconee,Bryan,Lee,Putnam,Greene,Rabun,McIntosh,Towns
2000-01-31,276979.19,205838.46,214303.11,201038.19,195218.08,111021.67,,367975.1,,,193296.21,143774.29,,114359.0,142898.63,,,,141372.39,,,215249.1,,,170316.45,,,145001.61,,,,,,,99427.16,,,,,,,,,,,,,
2000-02-29,277230.56,205302.69,213357.41,200916.99,194758.84,110532.14,268401.48,367763.99,,,192421.78,141845.56,,114052.58,142612.92,,,,141125.39,,,214913.11,,,169811.58,,,144175.62,,,,,,,98733.23,,,,,,,,,,,,,
2000-03-31,276525.54,204357.16,212463.9,200251.78,193622.14,109912.58,267186.15,366637.63,,,191281.66,140403.01,,113612.28,141309.73,,,,140418.62,,,214053.7,,,168726.33,,,143286.14,,,,,,,98057.6,,,,,,,,,,,,,
2000-04-30,279210.91,205828.46,214072.55,202070.28,194481.15,110583.07,269431.66,370576.83,,,192029.4,140350.51,,114524.92,141416.1,,,,141287.89,,,215559.19,,,169369.42,,,143925.02,,,,,,,98352.09,,,,,,,,,,,,,
2000-05-31,281379.18,207151.22,215711.05,203798.93,195121.41,111208.68,269430.71,372569.32,,,192364.47,140986.4,,115440.14,141072.93,,,,141592.13,,,216586.77,,,169767.25,,,145200.55,,,,,,,98905.43,,,,,,,,,,,,,
2000-06-30,282317.09,207732.89,216213.61,204881.88,195104.78,111526.81,269311.94,369014.64,,,192243.44,141405.6,,115656.99,140482.81,,,,141274.75,,106890.48,216506.29,,,169674.67,,,145676.95,,,,,,,99034.71,,,,,,,,,,,193953.01,,
2000-07-31,284288.13,208852.87,217205.74,206489.39,195506.81,112063.91,268999.43,367882.18,,,192523.27,142028.12,,116414.69,140169.64,,,,141612.46,,107103.37,216717.93,,,170072.01,,,146293.02,,,,,,,99478.77,,,,,,,,,,,194768.23,,
2000-08-31,286687.67,210780.06,218870.14,208633.01,196331.28,112878.07,270109.02,366090.68,,,192798.09,142519.37,,117100.03,140150.75,,,,142797.63,,107429.72,217592.21,,,170589.02,,,147038.48,,,,,,,99973.45,,,,,,,,,,,195882.97,,
2000-09-30,287671.37,211435.97,220099.28,209334.22,196047.07,112908.36,265515.86,367243.94,,,191794.01,140810.36,,117785.1,139768.03,,,,143219.69,,107266.1,217127.78,,,170104.99,,,146481.67,,,,,,,99930.49,,,,,,,,,,,196681.01,,
2000-10-31,289218.93,213039.91,222114.73,210965.67,196855.35,113394.3,263495.57,365984.73,,,191959.72,140055.85,,118368.4,140269.07,,,,144011.58,,107420.61,217698.43,,,170229.62,,,146730.62,,,,,,,99802.54,,,,,,,,,,,198474.14,,
