,Fulton,Gwinnett,Cobb,Dekalb,Chatham,Clayton,Cherokee,Forsyth,Henry,Richmond,Hall,Muscogee,Paulding,Houston,Bibb,Columbia,Douglas,Coweta,Clarke,Carroll,Lowndes,Fayette,Newton,Bartow,Whitfield,Floyd,Walton,Rockdale,Dougherty,Glynn,Barrow,Bulloch,Troup,Walker,Jackson,Catoosa,Spalding,Liberty,Effingham,Gordon,Camden,Laurens,Colquitt,Baldwin,Thomas,Habersham,Coffee,Polk,Tift,Murray,Oconee,Bryan,Ware,Harris,Lumpkin,Pickens,Gilmer,Sumter,Wayne,Lee,White,Haralson,Madison,Jones,Monroe,Peach,Toombs,Decatur,Upson,Hart,Stephens,Tattnall,Fannin,Grady,Chattooga,Dawson,Butts,Union,Franklin,Crisp,Emanuel,Burke,Mitchell,Putnam,McDuffie,Meriwether,Dodge,Worth,Washington,Pierce,Elbert,Berrien,Brantley,Banks,Long,Lamar,Morgan,Appling,Pike,Greene,Cook,Ben Hill,Rabun,Dade,Telfair,Jefferson,Brooks,Jeff Davis,Oglethorpe,McIntosh,Screven,Jasper,Dooly,Macon,Charlton,Bleckley,Crawford,Heard,Towns,Pulaski,Bacon,Candler,Evans,Chattahoochee,Lanier,Early,Wilkes,Johnson,Irwin,Montgomery,Wilkinson,Wilcox,Jenkins,Terrell,Hancock,Marion,Seminole,Atkinson,Twiggs,Taylor,Turner,Wheeler,Lincoln,Randolph,Treutlen,Clinch,Calhoun,Talbot,Stewart,Miller,Warren,Schley,Echols,Baker,Glascock,Clay,Webster,Quitman,Taliaferro
2000-01-31,336437.49,279792.53,304367.11,292410.39,201386.34,176446.03,312720.99,395449.18,263469.85,,260420.89,209277.77,,198321.55,116621.98,240388.1,272110.34,265027.74,201296.66,169592.01,192047.79,348243.0,152202.02,198100.0,162975.37,156043.99,281723.19,258947.4,115375.32,,197347.43,,175501.8,147255.8,,180004.91,,143547.46,244022.6,,174256.89,133762.29,98444.25,,163335.83,,129897.46,139411.84,155604.41,160327.31,355351.97,258273.95,89098.67,,222948.88,239234.63,,124900.25,129041.15,209279.53,254263.18,,190753.65,193683.05,224424.12,173082.32,119945.25,147456.25,114863.64,205050.72,144356.3,114137.45,243335.08,,115531.81,364651.84,181142.56,214521.15,,119978.66,90345.33,,99356.83,247583.24,145337.45,107009.13,81952.77,121248.18,100538.43,139703.73,106413.05,121109.27,,228211.59,206290.35,166801.52,281317.01,101405.3,,,105493.44,95238.79,249054.97,166346.11,66393.21,92458.86,106476.35,97800.7,182825.29,164353.91,114682.53,172544.27,89743.98,75839.02,120154.49,115651.38,,139869.01,,111807.64,74203.76,120412.97,113511.48,,129684.7,96666.57,110613.73,,90290.82,,105045.06,74420.03,,104009.4,,100893.62,111373.33,,81514.94,,90413.91,,144642.91,,86675.67,,,115878.2,,,,,,,,,,95490.24,
2000-02-29,337106.07,278896.39,302649.77,291952.1,200768.41,176015.18,311852.91,394801.84,262751.99,,258971.1,208344.18,,197288.17,116323.22,239645.37,271158.06,264199.32,200639.06,168899.13,191448.15,347202.43,151835.3,197277.68,162522.48,155588.22,280910.07,258226.46,114907.35,,196732.31,,175329.97,146710.2,218694.01,179395.79,,143060.41,242970.04,,173545.28,133231.48,97754.36,,163025.9,,129697.06,139242.81,155231.63,159986.15,354255.56,257518.52,88827.4,,222688.16,239026.58,,124743.26,128894.73,208945.49,253805.8,,189873.22,193075.53,223796.38,172293.72,119556.99,146238.25,114528.03,203942.75,144201.84,114304.29,242372.22,,115080.4,364122.94,180554.7,213430.82,,119878.62,90026.52,,98916.77,247383.7,144881.81,106571.2,81153.74,121044.53,99937.6,137634.66,106345.71,120160.04,,228622.57,206393.43,166263.17,280085.02,102216.97,,,105746.15,94204.2,247624.92,165799.96,66105.33,91285.07,106130.71,97714.16,182559.64,162178.13,114863.65,172929.99,89900.66,76226.17,121231.56,115508.65,,139728.75,,111717.27,74256.19,119237.11,113150.62,,129882.34,96359.47,110846.78,,89842.98,,104671.14,73520.29,,103486.01,,100544.15,111774.96,,80938.74,,89767.81,,144771.69,,86282.33,,,115379.3,,,,,,,,,,97389.03,
2000-03-31,336006.77,277456.53,301081.55,290788.62,199606.85,175137.52,310169.56,393086.83,261296.8,,257446.27,207117.2,,196040.64,115623.36,238184.95,269810.95,262888.32,199563.51,168154.21,190213.71,345335.76,151068.68,196038.91,161606.06,154709.44,279557.77,256896.69,114198.26,,195787.52,,174405.91,145964.7,218129.61,178502.62,,142154.04,241381.88,,172384.42,132329.21,97299.97,,162519.72,,129128.82,138870.43,154198.0,159419.88,352358.95,255582.55,88295.18,,221092.49,237718.59,,124023.1,128166.62,207923.37,252203.58,,188729.67,191905.79,223367.09,171136.16,118535.96,144981.69,113750.97,203152.25,143414.44,113679.89,242330.21,,114831.06,362800.97,179880.9,212111.96,,119217.3,88491.09,,97234.09,246265.69,143856.53,106193.81,80996.34,120200.31,99049.27,136854.15,105843.61,119596.98,,227469.0,205575.95,165245.08,279699.93,101946.27,,,105033.97,93333.29,245834.0,164589.74,65902.82,90094.75,106769.4,97464.67,181677.01,161637.27,114687.17,172408.69,89460.22,75933.96,121562.99,115073.78,,138613.84,,111230.18,74843.47,118485.68,113060.96,,130488.03,96119.33,110701.41,,89578.11,,104458.39,73147.92,,101918.53,,102518.38,111296.07,,80183.24,,89137.75,,145300.69,,85628.76,,,114935.08,,,,,,,,,,97696.99,
2000-04-30,339440.58,279008.18,302460.0,293287.2,200396.51,176222.17,311452.61,395570.73,262575.45,,258056.62,207647.78,,196371.5,116108.59,239097.64,271167.81,264474.47,200633.89,169052.34,190875.44,347185.66,152047.83,196820.26,162281.03,155386.7,281281.46,258219.49,114575.17,,197002.19,,175407.81,146725.03,219142.37,179484.81,,142609.92,242348.15,,172975.13,132865.33,97757.78,,163885.49,,130093.04,139882.68,154714.42,160771.87,354064.39,256696.47,88735.72,,221826.29,239613.98,,124596.98,128537.1,209082.44,254381.61,,189522.22,193166.04,225139.18,171431.31,118802.9,144694.33,114017.24,204295.04,144190.12,114460.81,243819.2,,115628.63,365332.01,181408.08,213169.83,,119998.45,87259.47,,96108.27,247547.92,144139.88,107110.78,81305.99,120906.38,98736.74,136375.74,106519.94,120301.67,,229583.5,205423.02,166250.6,280666.36,103123.89,,,106428.11,92826.57,246936.29,164592.42,66094.79,89463.44,108969.95,97419.91,183561.8,161743.9,115644.23,173453.35,90189.43,77332.95,123637.08,115748.19,,138408.17,,112192.73,76570.57,118004.14,113452.39,,133716.08,96785.74,111908.57,,90582.75,,105251.62,73526.25,,102200.37,,107162.76,111979.61,,79315.14,,89900.08,,146773.55,,85947.83,,,114970.22,,,,,,,,,,99849.12,
2000-05-31,341758.4,280439.43,304000.62,295641.54,201045.45,177181.4,312603.72,396964.69,263167.45,,259079.64,208035.58,,196519.78,116329.7,239616.65,272485.32,265654.41,201556.0,169976.66,191308.76,348578.93,152922.75,197655.09,162668.09,155942.75,282597.56,259225.01,114936.52,,198212.36,,176129.16,147362.14,220392.49,180390.04,,142800.13,243231.99,,173252.8,133357.65,98453.72,,164855.64,,131021.26,140738.91,155091.27,161678.15,355492.91,257468.39,89232.77,,221406.65,241184.62,,125045.3,128489.31,209728.17,256397.11,,190009.04,193840.72,226432.49,171904.62,118685.13,144596.55,113953.5,206322.23,144660.58,114623.27,244600.94,,116128.94,367877.51,182849.3,214857.84,,120611.35,86371.99,,95471.8,248970.86,144272.92,107645.25,81735.56,121504.37,98818.89,137132.22,107148.55,121462.83,,230572.22,205323.64,166864.94,282936.77,104000.48,,,107711.02,92595.44,247769.78,165042.55,66253.08,89653.32,111009.65,97155.73,184685.53,163924.55,116689.68,172899.75,90245.21,77957.53,124334.0,115980.11,,139347.46,,112864.92,79008.04,118136.51,114543.66,,135870.57,97230.15,112537.83,,91143.42,,105862.67,74395.83,,102363.28,,112354.38,112041.13,,77448.72,,91037.85,,149312.6,,85394.17,,,115417.64,,,,,,,,,,100734.73,
2000-06-30,342453.42,280650.56,303952.74,296764.96,200817.13,177556.26,314055.23,396118.17,262408.23,,258748.06,207178.53,,195869.18,115946.22,239050.95,272612.29,265159.38,201588.41,169767.63,190998.7,348415.4,153219.38,197795.67,162435.24,155979.15,282559.84,259202.56,114785.85,,198532.53,,176048.12,147326.26,219699.9,180443.43,,142479.89,243320.58,,173026.67,133410.38,98559.54,,165026.28,,131292.78,140694.57,154994.38,161610.58,355403.48,257635.89,89440.1,,220865.44,241812.44,,125014.01,128023.41,209437.3,257202.04,,189499.17,193612.13,225956.28,171640.76,118342.72,144537.23,113541.11,207152.7,144647.42,114345.11,243558.17,,115687.98,368029.87,183304.76,216377.16,,120475.81,86088.09,,95114.57,249523.59,144124.04,107410.41,81396.67,121980.51,98917.64,136824.36,107518.87,121522.56,,229724.92,204007.29,166873.58,282129.43,104945.04,,,108808.37,92003.59,248740.25,164971.19,65879.67,89438.37,111962.38,96104.5,185141.74,163612.83,117010.18,171754.39,90104.64,78261.59,124375.29,115636.33,,141264.42,,113191.62,79733.58,117113.48,114835.77,,136657.36,97361.29,112661.36,,91235.75,,105957.36,74677.17,,102595.03,,113195.06,111803.99,,75503.55,,91941.62,,151210.25,,84368.19,,,115264.46,,,,,,,,,,100868.24,
2000-07-31,343969.21,281490.1,304671.35,298632.13,201207.65,178478.14,316085.06,396437.93,262618.4,,259318.81,207112.9,,195944.81,115925.17,239071.29,273700.6,264784.34,202209.04,170123.54,191228.17,349046.55,153929.64,198447.41,162749.72,156547.33,283233.5,259878.76,114987.34,,199127.59,,176482.24,147735.84,219900.72,180953.26,,142655.06,244050.72,,173170.64,133658.07,98881.04,,165540.88,,131715.42,141148.69,155243.64,162122.78,356174.75,257886.3,89889.2,,220953.63,242542.63,,125209.0,128245.79,209637.83,257942.98,,190003.5,193275.6,226233.65,172301.51,118164.97,145073.5,113771.25,208718.89,145061.47,113927.55,243609.29,,115753.4,369720.05,184082.79,218049.1,,120418.51,86818.06,,95289.45,251362.71,144441.41,106988.29,82233.68,122368.03,99702.07,138197.79,107934.71,121845.87,,229114.13,204182.61,166590.36,283929.14,105717.24,,,109925.45,92321.37,249748.13,165604.44,66184.06,89786.14,112556.88,96955.56,185877.73,163462.54,117745.86,171305.28,90103.9,77688.81,123671.72,115494.04,,144297.13,,113609.79,80241.22,117179.04,116328.81,,137603.49,97855.61,112651.35,,91259.87,,106119.17,74784.28,,101895.49,,114346.66,111900.74,,75181.05,,92268.13,,154161.53,,84401.34,,,116011.05,,,,,,,,,,101143.17,
2000-08-31,346071.6,283147.62,306340.9,301258.4,202002.92,179888.32,318601.4,398064.53,264014.84,,260108.93,207470.17,,196697.13,116280.72,239833.92,275876.85,265048.86,203363.29,170896.48,192020.0,350891.3,155013.47,199639.45,163577.62,157510.92,284738.15,261445.25,115361.78,,200352.27,,177085.13,148776.73,220670.22,181903.11,,143123.98,245801.0,,174079.27,134164.77,99358.54,,166853.16,,132144.83,141560.93,155858.55,163115.58,357657.08,259007.92,90394.18,,223552.42,244356.46,,125653.87,129116.63,210577.37,259840.98,,191679.91,194005.59,227326.07,173393.93,118678.54,146493.99,114429.1,210276.79,145889.38,114374.14,245132.83,,116692.95,371817.29,185243.92,220237.38,,120318.89,87431.25,,95383.92,252960.11,145070.06,107414.27,83357.02,122800.87,100502.49,139424.18,108489.51,122271.84,,229153.64,204306.28,167298.03,285981.72,106486.74,,,111223.99,92800.59,251695.93,166209.04,66470.91,90715.38,113688.8,97668.38,187595.37,162449.13,118560.02,171971.72,90797.83,77216.46,123061.96,115552.44,,146360.01,,114693.62,80237.78,117625.63,116749.63,,141476.76,99351.67,113063.58,,92141.02,,106923.02,75158.72,,101835.37,,114614.61,112245.98,,76026.13,,92776.55,,155755.49,,84739.71,,,117081.14,,,,,,,,,,102129.09,
2000-09-30,346646.8,283353.39,307173.21,302146.1,201837.98,180294.2,315385.41,399060.66,264459.86,,259877.02,206798.45,,196269.2,116247.24,239418.29,276726.9,264213.8,203509.13,171044.79,191814.52,351077.56,155368.82,199840.47,163570.77,157634.61,284879.29,261587.47,115167.31,,200575.23,,177225.3,148918.33,220591.4,182071.29,,142874.52,246119.96,,173862.51,133883.13,99402.49,,166931.86,,131695.95,141422.09,155934.41,163230.73,357258.07,259005.56,90359.84,,225063.17,245098.13,,125115.59,129303.71,210514.96,261035.54,,192785.08,193759.06,227698.04,173517.34,118719.78,146497.05,114637.6,210359.47,145828.93,114603.43,245101.55,,117192.17,373323.63,185481.93,220634.11,,119821.92,87393.47,,95166.52,253276.16,144584.97,107647.15,83914.47,122376.48,100448.23,139978.21,109014.14,121993.73,,228593.42,202811.97,166523.47,287221.97,106603.11,,,111717.37,92774.29,252023.65,166082.62,66727.97,91458.56,114328.32,97640.78,188364.58,162747.16,118576.25,171817.14,91451.72,75816.76,122029.61,114996.44,,146546.6,,114702.54,80901.97,117918.38,116587.28,,143182.09,99925.36,111917.29,,92834.09,,107090.1,75447.67,,101603.34,,116546.27,113250.11,,76187.55,,92863.14,,158840.98,,85606.13,,,117347.66,,,,,,,,,,101808.39,
2000-10-31,348375.83,284608.17,309306.35,304042.27,202552.7,181093.82,315622.9,400288.23,265677.28,,260721.95,206689.24,,196473.25,116640.43,239984.62,278784.59,264744.21,204354.01,171824.54,192210.47,352493.62,156114.18,200765.03,164095.59,158217.43,286058.09,262644.38,115366.2,,201645.21,,178018.27,149569.06,220627.28,182852.49,,143126.28,247184.77,,174345.7,134131.63,99843.48,,167387.77,,131895.33,141921.99,156712.92,163795.37,358378.6,260179.5,90654.37,,227522.1,246688.39,,124962.99,129804.03,211189.13,262632.44,,194086.85,194243.78,228415.93,174212.65,119062.65,147421.46,115033.57,211569.52,146314.4,115477.08,246043.6,,118143.23,375844.22,186417.6,222097.67,,119941.14,87566.89,,95722.29,254767.02,144641.02,108340.04,84150.19,122554.41,100745.85,140385.07,110011.71,121636.69,,229086.31,202769.33,167234.25,289379.27,107268.8,,,112451.0,92817.32,253842.48,166562.17,67218.48,92769.56,115877.94,97051.1,188901.23,163667.44,119586.33,172397.69,92174.24,75089.01,122102.38,115135.92,,147061.54,,115419.08,81816.66,118424.69,116597.78,,144647.84,100576.97,111350.76,,93760.62,,108363.92,75996.49,,102098.54,,116280.5,115243.38,,75889.03,,93779.39,,161937.76,,85770.69,,,118105.7,,,,,,,,,,101511.75,
